,Product_name,Prices,Description,Reviews
0,"realme P4R 5G (Silver Glare, 128 GB)","₹18,999",4 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera | 8MP Front Camera8000 mAh Lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
1,"vivo T5x 5G (Cyber Green, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM17.17 cm (6.76 inch) Display50MP + 2MP | 32MP Front Camera7200 mAh Li-ion BatteryDimensity 7400-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
2,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 10MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3
3,"OPPO K14 5G (Prism White, 256 GB)","₹23,999",8 GB RAM | 256 GB ROM17.14 cm (6.75 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
4,"realme 16T 5G (Starlight Black, 128 GB)","₹29,999",6 GB RAM | 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP + 2MP | 16MP Front Camera8000 mAh lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,3.8
5,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 2MP | 16MP Front Camera7000 mAh BatterySnapdragon 6 Gen 4 Processor80W SUPERVOOC Charger1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories,4.4
6,"realme P4 5G (Steel Grey, 256 GB)","₹25,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
7,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
8,"OPPO K13 Turbo 5G (White Knight, 128 GB)","₹27,999",8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera7000 mAh BatteryDimensity 8450 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
9,"OPPO K14 5G (Prism Violet, 256 GB)","₹23,999",8 GB RAM | 256 GB ROM17.14 cm (6.75 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
